date|id|team0Id|team1Id
Mon Oct 18 2021 19:00:00 GMT-0500 (Central Daylight Time)|695|1610612754|1610612753
Mon Oct 18 2021 19:00:00 GMT-0500 (Central Daylight Time)|1172|1610612761|1610612737
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|427|1610612747|1610612762
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|689|1610612754|1610612738
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|964|1610612761|1610612748
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|1056|1610612764|1610612751
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|1153|1610612766|1610612765
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|1215|1610612744|1610612759
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|155|1610612740|1610612760
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|228|1610612742|1610612757
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|666|1610612754|1610612741
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|711|1610612755|1610612764
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|756|1610612756|1610612751
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|991|1610612762|1610612752
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|1183|1610612759|1610612743
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|39|1610612737|1610612765
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|337|1610612745|1610612744
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|464|1610612748|1610612754
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|485|1610612749|1610612756
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|531|1610612750|1610612740
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|642|1610612753|1610612759
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|726|1610612755|1610612762
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|782|1610612757|1610612743
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|1148|1610612766|1610612758
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|271|1610612743|1610612758
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|497|1610612749|1610612737
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|809|1610612757|1610612740
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|901|1610612760|1610612750
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|945|1610612761|1610612764
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|1050|1610612763|1610612756
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|1173|1610612754|1610612738
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|250|1610612743|1610612752
