date|id|team0Id|team1Id
Mon Oct 18 2021 19:00:00 GMT-0500 (Central Daylight Time)|97|1610612739|1610612758
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|581|1610612751|1610612753
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|598|1610612752|1610612743
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|716|1610612755|1610612744
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|755|1610612756|1610612749
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|841|1610612758|1610612765
Tue Oct 19 2021 19:00:00 GMT-0500 (Central Daylight Time)|910|1610612760|1610612748
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|57|1610612738|1610612750
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|95|1610612739|1610612756
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|303|1610612744|1610612743
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|795|1610612757|1610612751
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|889|1610612759|1610612746
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|932|1610612760|1610612747
Wed Oct 20 2021 19:00:00 GMT-0500 (Central Daylight Time)|1081|1610612764|1610612765
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|683|1610612754|1610612759
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|839|1610612758|1610612761
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|1012|1610612762|1610612756
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|1096|1610612765|1610612741
Thu Oct 21 2021 19:00:00 GMT-0500 (Central Daylight Time)|1196|1610612737|1610612749
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|96|1610612739|1610612757
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|200|1610612742|1610612759
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|444|1610612748|1610612756
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|481|1610612749|1610612745
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|629|1610612753|1610612766
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|1004|1610612762|1610612740
Fri Oct 22 2021 19:00:00 GMT-0500 (Central Daylight Time)|1069|1610612764|1610612746
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|84|1610612739|1610612754
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|228|1610612742|1610612750
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|435|1610612748|1610612766
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|502|1610612749|1610612755
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|557|1610612751|1610612740
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|594|1610612752|1610612764
Sat Oct 23 2021 19:00:00 GMT-0500 (Central Daylight Time)|815|1610612757|1610612756
Sun Oct 24 2021 19:00:00 GMT-0500 (Central Daylight Time)|11|1610612737|1610612745
Sun Oct 24 2021 19:00:00 GMT-0500 (Central Daylight Time)|71|1610612738|1610612739
Sun Oct 24 2021 19:00:00 GMT-0500 (Central Daylight Time)|144|1610612740|1610612744
Sun Oct 24 2021 19:00:00 GMT-0500 (Central Daylight Time)|385|1610612746|1610612757
